ConceptA,ConceptB,Complexity,Avg_ChapterDist,Avg_PageDist,Avg_LineDist,Avg_WordDist,Chap_Conce,Dad_Score,Prereq
Computer network,End system,49,41.9771225838023,128.06235217355842,0.0,-59.0,0.03116883116883117,1580008.2999999996,1
End system,Server (computing),-926,-46.089819769079135,-129.68296254576177,0.0,2.75,0.026953748006379584,1015097.2,0
End system,Router (computing),-814,-76.61760816172303,-241.446958246741,0.0,-41.34615384615385,0.02599431818181818,613882.2000000001,0
End system,Virtual circuit,117,-63.825724319578576,-204.52458296751536,0.0,85.0,0.16103896103896104,1992005.1,0
Computer network,Network security,165,-83.7832422586521,-253.22040072859744,0.0,33.0,0.137987012987013,2638983.8,1
Computer network,Twisted pair,169,72.04215456674473,215.67642466822795,0.0,0.0,0.512987012987013,2878007.0,0
Computer network,Link layer,71,-46.46677400468384,-161.10928961748633,0.0,24.0,0.03624282694050136,2580031.2,1
Computer network,Router (computing),-765,-34.64048557792073,-113.38460607318254,0.0,-52.0,0.020799512987012988,1233926.9999999998,1
Computer network,Virtual circuit,166,-21.848601735776278,-76.46223079395693,0.0,0.0,0.15584415584415584,2880989.3,1
Computer network,Port (computer networking),-975,-27.518417848749966,-81.6844191511651,0.0,-29.45,0.017841381919051817,655130.1000000001,1
Computer network,Network congestion,171,-34.58879781420765,-107.85928961748634,0.0,0.0,0.15584415584415584,2898000.0,1
Computer network,Internet protocol,142,-15.818472610955618,-46.79221644675463,0.0,-32.333333333333336,0.05298701298701298,2341982.1,1
Computer network,Digital subscriber line,182,82.32786885245902,247.89071038251367,0.0,0.0,1.0129870129870129,2878002.0,0
Computer network,IEEE 802.11,160,-90.54169636493229,-286.23972440009504,0.0,0.0,0.0899100899100899,2828015.5,1
Computer network,Client (computing),-491,-19.968867052585495,-51.785847480987826,0.0,-2.2,0.0251821349382325,2305059.7,0
Computer network,Transport layer,-975,-27.518417848749966,-81.6844191511651,0.0,-29.45,0.017841381919051817,655130.1000000001,1
Computer network,ALOHAnet,175,-57.17213114754098,-176.60928961748633,0.0,0.0,0.262987012987013,2831006.6,1
Computer network,Transmission Control Protocol,182,88.32786885245902,262.89071038251365,0.0,0.0,1.0129870129870129,2731960.1,1
Computer network,Wireless network,153,-76.93879781420765,-248.34262295081967,0.0,0.0,0.0899100899100899,2833015.0,1
Computer network,Hierarchical routing,179,-27.422131147540984,-96.35928961748634,0.0,0.0,0.3463203463203463,2928000.0,1
Computer network,Protocol stack,143,-10.872131147540983,-39.50928961748634,0.0,-107.0,0.050024050024050026,2642015.8,1
Computer network,MAC address,85,-66.95784543325527,-223.4868406378945,0.0,0.0,0.07965367965367966,2916998.4,0
Computer network,Exponential backoff,178,-62.27213114754098,-208.10928961748633,0.0,0.0,0.512987012987013,2928000.0,1
Computer network,Virtual LAN,182,-68.67213114754098,-233.10928961748633,0.0,0.0,1.0129870129870129,2913001.5,1
Computer network,Local area network,161,-47.30849478390462,-163.10928961748633,0.0,-110.0,0.137987012987013,2670956.1,1
Computer network,Overlay network,173,-11.472131147540983,-24.10928961748634,0.0,95.0,0.17965367965367965,2897011.0,1
Computer network,Flooding (computer networking),160,-22.71560940841055,-79.544072226182,0.0,0.0,0.1038961038961039,2777971.5,0
Computer network,Multicast,177,-60.005464480874316,-199.10928961748633,0.0,0.0,0.3463203463203463,2918001.0,1
Computer network,Routing,179,-27.422131147540984,-96.35928961748634,0.0,0.0,0.3463203463203463,2928000.0,1
Computer network,Multiplexing,182,79.32786885245902,239.89071038251367,0.0,0.0,1.0129870129870129,2902995.0,1
Computer network,Internet,180,-35.67213114754098,-122.77595628415301,0.0,0.0,0.512987012987013,2928000.0,0
Computer network,IP multicast,177,-60.005464480874316,-199.10928961748633,0.0,0.0,0.3463203463203463,2918001.0,1
Computer network,Attack (computing),28,-54.736647276573244,-159.18025735942183,0.0,-21.375,0.04001404001404001,1850065.6000000003,0
Computer network,Network layer,-30,-21.906872931578544,-73.78065111983376,0.0,-75.33333333333333,0.028860028860028863,2506013.8,1
Computer network,Data link layer,71,-46.46677400468384,-161.10928961748633,0.0,24.0,0.03624282694050136,2580031.2,1
Computer network,Circuit switching,161,74.50968703427719,225.98161947342274,0.0,0.0,0.17965367965367965,2648008.5,1
Computer network,Processing delay,173,53.427868852459014,161.59071038251366,0.0,234.0,0.17965367965367965,2741020.3,1
Computer network,Address Resolution Protocol,180,-62.005464480874316,-209.10928961748633,0.0,0.0,0.512987012987013,2913002.5,1
Computer network,Asynchronous Transfer Mode,182,1.3278688524590163,8.890710382513662,0.0,0.0,1.0129870129870129,2928000.0,0
Computer network,Presentation layer,176,-71.3864168618267,-202.53786104605777,0.0,0.0,0.512987012987013,2846010.8,1
Computer network,IP address,-166,-41.15064117619428,-122.59353030516542,0.0,-170.0,0.02707152002926651,2408038.0000000005,1
Computer network,Physical layer,169,-31.314988290398126,-108.53786104605777,0.0,173.0,0.1240981240981241,2811038.1,1
Computer network,Session layer,179,64.32786885245902,200.64071038251367,0.0,0.0,0.512987012987013,2846006.1,1
Computer network,Network delay,172,-61.67213114754098,-188.2911077993045,0.0,-100.0,0.15584415584415584,2770972.0,1
